NAME,Total
Connecticut,1
Maine,0
Massachusetts,0
New Hampshire,0
New Jersey,0
New York,0
Pennsylvania,3
Rhode Island,0
Vermont,0
Illinois,12
Indiana,20
Iowa,0
Kansas,0
Michigan,0
Minnesota,0
Missouri,80
Nebraska,3
North Dakota,0
Ohio,53
South Dakota,3
Wisconsin,0
Alabama,56
Arkansas,27
Delaware,16
District of Columbia,0
Florida,89
Georgia,55
Kentucky,3
Louisiana,28
Maryland,5
Mississippi,21
North Carolina,43
Oklahoma,111
South Carolina,43
Tennessee,6
Texas,518
Virginia,110
West Virginia,0
Alaska,0
Arizona,37
California,13
Colorado,1
Hawaii,0
Idaho,3
Montana,3
Nevada,12
New Mexico,1
Oregon,2
Utah,7
Washington,5
Wyoming,1
