id,county,geo_id,adm,coverage1314,pbe1314,coverage1516,pbe1516
1,Alameda,6001,ALA,88.94,1.78,95.9,1.2
2,Alpine,6003,ALP,83.33,8.33,100,0
3,Amador,6005,AMA,82.09,9.46,87.3,3.3
4,Butte,6007,BUT,86.12,6.99,90.4,5.3
5,Calaveras,6009,CAL,76.55,10.84,88.3,10.50
6,Colusa,6011,COL,98.36,0.47,99.8,0
7,Contra Costa,6013,CON,93.96,2.32,95.1,2
8,Del Norte,6015,DEL,86.14,8.13,88.4,8.7
9,El Dorado,6017,ELD,81.68,9.16,90.4,7.2
10,Fresno,6019,FRE,94.08,1.62,96.2,1
11,Glenn,6021,GLE,96.78,1.01,94.6,2.5
12,Humboldt,6023,HUM,73.27,11.87,82,10.4
13,Imperial,6025,IMP,94.9,0.64,95.3,0.5
14,Inyo,6027,INY,95.38,1.03,98.6,1
15,Kern,6029,KER,92.63,2.69,95.3,1.5
16,Kings,6031,KIN,97.36,0.87,96.9,0.9
17,Lake,6033,LAK,86.45,4.88,92.9,2.5
18,Lassen,6035,LAS,86.51,5.56,86,9.5
19,Los Angeles,6037,LOS,88.19,2.22,90,1.5
20,Madera,6039,MAD,94.17,2.17,95.9,1.4
21,Marin,6041,MAR,80.22,7.57,88.5,5.9
22,Mariposa,6043,MARP,73.77,13.11,81.5,13.4
23,Mendocino,6045,MEN,75.4,9.33,87.4,7.1
24,Merced,6047,MER,95.45,1.07,96.5,0.8
25,Modoc,6049,MOD,90,5.71,87.5,0.8
26,Mono,6051,MON,87.94,8.11,88.2,11.1
27,Monterey,6053,MONT,89.55,1.66,94.7,1.4
28,Napa,6055,NAP,92.8,3.74,93.4,3.3
29,Nevada,6057,NEV,72.3,21.26,77.1,18.4
30,Orange,6059,ORA,88.71,3.65,92.5,3
31,Placer,6061,PLA,86.4,7.68,88.8,6
32,Plumas,6063,PLU,82.17,10.19,86.2,9
33,Riverside,6065,RIV,93.32,2.88,95.2,2.1
34,Sacramento,6067,SAC,85.53,5.39,88.5,4.1
35,San Benito,6069,SAN,95.97,0.87,96,1.2
36,San Bernardino,6071,SANB,93.39,2.86,94.9,1.9
37,San Diego,6073,SAND,89.97,4.49,93.5,3.6
38,San Francisco,6075,SANF,88.11,1.64,92.5,1.5
39,San Joaquin,6077,SANJ,95.68,1.51,95.9,1.3
40,San Luis Obispo,6079,SANL,85.55,8.26,89.7,5.5
41,San Mateo,6081,SANM,90.18,2.26,95.2,1.6
42,Santa Barbara,6083,SANBA,92.1,4.72,94.9,3.6
43,Santa Clara,6085,SANC,92.53,1.72,94.8,1.7
44,Santa Cruz,6087,SANCR,84.38,9.54,87.5,8.8
45,Shasta,6089,SHA,77.25,8.56,84,8.4
46,Sierra,6091,SIE,100,0,100,0
47,Siskiyou,6093,SIS,79.28,15.22,83.8,7.8
48,Solano,6095,SOL,94.63,1.55,94.8,1.5
49,Sonoma,6097,SON,89.47,6.04,92.1,4.8
50,Stanislaus,6099,STA,93.57,4.08,94.9,2.3
51,Sutter,6101,SUT,90.22,7.3,90,7.9
52,Tehama,6103,TEH,93.9,4.24,94.1,2.8
53,Trinity,6105,TRI,74.36,18.8,77,14.4
54,Tulare,6107,TUL,96.55,1.55,97.1,0.9
55,Tuolumne,6109,TUO,76.13,15.41,77.7,8.3
56,Ventura,6111,VEN,88.62,3.46,94.2,2.5
57,Yolo,6113,YOL,91.53,3.67,91.7,3.5
58,Yuba,6115,YUB,92.53,2.56,94.7,1.9
