"ID","Weather.Code","Description","Symbol"
"1","W00","Lichte buien","#lichte buien.jpg#"
"2","W01","Buien. Matige buien","#buien.jpg#"
"3","W02","Zware buien","#zware buien.jpg#"
"4","W03","?","#w03.jpg#"
"5","W04","?","#w04.jpg#"
"6","W05","Toenemende buien","#w05.jpg#"
"7","W06","Buien rondom","#w06.jpg#"
"8","W07","Afnemende buien","#w07.jpg#"
"9","W10","Mistig","#w10.jpg#"
"10","W11","Dik van de mist","#w11.jpg#"
"11","W12","Zeer dikke mist","#w12.jpg#"
"12","W20","Motregen","#w20.jpg#"
"13","W21","Regen","#w21.jpg#"
"14","W22","Stortregen","#w22.jpg#"
"15","W23","Lichte sneeuw","#w23.jpg#"
"16","W24","Matige sneeuw. Sneeuw","#w24.jpg#"
"17","W25","Zware sneeuw","#w25.jpg#"
"18","W26","Lichte hagel","#w26.jpg#"
"19","W27","Hagel","#w27.jpg#"
"20","W28","Zware hagel","#w28.jpg#"
"21","W30","Licht weerlicht","#licht weerlicht.jpg#"
"22","W31","Matig weerlicht","#matig weerlicht.jpg#"
"23","W32","Zwaar weerlicht","#zwaar weerlicht.jpg#"
"24","W33","Toenemend weerlicht","#weerlicht toenemend.jpg#"
"25","W34","Weerlicht rondom","#weerlicht rondom.jpg#"
"26","W35","Afnemend weerlicht","#weerlicht afnemend.jpg#"
"27","W40","Licht onweer, donder en weerlicht","#licht onweer, donder en weerlicht2.jpg#"
"28","W41","Licht onweer, donder en weerlicht","#licht onweer, donder en weerlicht3.jpg#"
"29","W42","Licht onweer, donder en weerlicht","#licht onweer, donder en weerlicht.jpg#"
"30","W43","Matig onweer, donder en weerlicht","#matig onweer, donder en weerlicht.jpg#"
"31","W44","Zwaar onweer, donder en weerlicht","#zwaar onweer, donder en weerlicht.jpg#"
"32","W45","Toenemend onweer, donder en weerlicht","#onweer toenemend.jpg#"
"33","W46","Onweer, donder en weerlicht rondom","#onweer rondom.jpg#"
"34","W47","Afnemend onweer, donder en weerlicht","#onweer afnemend.jpg#"
"35","V00","Wolkdrijvende lucht","#wolkdrijvende lucht.jpg#"
"36","V01","Licht afwisselend bewolkte lucht","#afwisselend bewolkte lucht.jpg#"
"37","V02","Matig afwisselend bewolkte lucht","#afwisselend bewolkte lucht_1.jpg#"
"38","V03","Zwaar afwisselend bewolkte lucht","#afwisselend bewolkte lucht_2.jpg#"
"39","V04","Bewolkte lucht","#bewolkte lucht.jpg#"
"40","V05","Betrokken lucht","#betrokken lucht.jpg#"
"41","V06","Dik betrokken lucht","#dik betrokken lucht.jpg#"
"42","V07","Licht afwisselend bewolkte en buiige lucht","#afwisselend bewolkte en buiige lucht.jpg#"
"43","V08","Matig afwisselend bewolkte en buiige lucht","#matig afwisselend bewolkte en buiige lucht.jpg#"
"44","V10","Licht buiige lucht. Onweerslucht. Opwerkende lucht","#buiige lucht.jpg#"
"45","V11","Matig buiige lucht. Onweerslucht. Opwerkende lucht","#buiige lucht_1.jpg#"
"46","V12","Zwaar buiige lucht. Onweerslucht. Opwerkende lucht","#buiige lucht_2.jpg#"
"47","V13","Licht verstopte lucht. Vuile lucht","#verstopte lucht.jpg#"
"48","V14","Matig verstopte lucht. Vuile lucht","#verstopte lucht_1.jpg#"
"49","V15","Zwaar verstopte lucht. Vuile lucht","#verstopte lucht_2.jpg#"
"50","V16","Dik verstopte lucht","#dik verstopte lucht.jpg#"
"51","V17","?","#dik verstopte lucht_1.jpg#"
"52","V18","?","#dik verstopte lucht_2.jpg#"
"53","H00","Heldere lucht","#heldere lucht.jpg#"
"54","H01","Dampige lucht. Dauwend weer","#dampige lucht.jpg#"
"55","H02","Dauw","#dauw.jpg#"
"56","H03","Zware dauw","#zware dauw.jpg#"
"57","H10","Licht heiige lucht. Nevel","#heiige lucht.jpg#"
"58","H11","Matig heiige lucht. Nevel","#matig heiige lucht.jpg#"
"59","H12","Zwaar heiige lucht. Nevel","#zwaar heiige lucht.jpg#"
"60","H13","Dauwend weer met bewolkte lucht","#h13.jpg#"
"61","H20","?","#h20.jpg#"
"62","H21","?","#h21.jpg#"
"63","H22","?","#h22.jpg#"
"64","Z00","Zee","#zee.jpg#"
"65","Z01","Hoge zee","#hoge zee.jpg#"
"66","Z02","Wilde zee","#wilde zee.jpg#"
"67","Z03","Deining","#deining.jpg#"
"68","Z04","Hoge deining","#hoge deining.jpg#"
"69","Z05","Zware deining","#zware deining.jpg#"
"70","Z06","Aanhoudende zware deining","#aanhoudende zware deining.jpg#"
"71","Z07","Dooreenlopende deining 1","#dooreenlopende deining1.jpg#"
"72","Z07","Dooreenlopende deining 2","#dooreenlopende deining2.jpg#"
"73","S00","Lichte stroomrafelingen","#lichte stroomravelingen.jpg#"
"74","S01","Matige stroomrafelingen","#matige stroomravelingen.jpg#"
"75","S02","Zware stroomrafelingen","#zware stroomravelingen.jpg#"
